,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU
0,1,0.8570405798591247,0.8950076385264439,0.6482148490592776,0.7732577867081951
1,2,0.9174690857631936,0.9055352473142833,0.6801502826434438,0.7838641627514539
2,3,0.9239263469076265,0.9143847928083682,0.707985841004554,0.7881910471963791
3,4,0.9276203356291118,0.9258269520376653,0.7473456325666872,0.8066163942379063
4,5,0.9290254361569472,0.9238006018397703,0.708297346651576,0.8010334894588197
5,6,0.9309642800477331,0.9246544993910926,0.765847559623394,0.8149178640887605
6,7,0.9317227850244029,0.918494408381176,0.7245990477699376,0.794404457001493
7,8,0.9333154604145809,0.9201792675169624,0.7291184954020413,0.8122072802135005
8,9,0.9342328383666154,0.9289209290187892,0.7675509884484814,0.8124301527559142
9,10,0.934609419693936,0.9258558343663014,0.7633115719217173,0.8112049702729719
10,11,0.9352014397592785,0.9316948218402052,0.7472182272909047,0.823547180868629
11,12,0.9357542478792727,0.928140086769311,0.7684262459414297,0.8142265844596143
12,13,0.9373302677948906,0.931781808618215,0.7843237472801183,0.817830009625059
13,14,0.9364559775904605,0.9319097403444676,0.7818289424695704,0.8264914530475901
14,15,0.936859445113612,0.9295451271094294,0.7727303074702333,0.8202623254976688
15,16,0.938116741398652,0.9311783378457724,0.7887080960099432,0.8187262295610365
16,17,0.9384344175151066,0.9226728318545581,0.7569381569720111,0.808360784997769
17,18,0.9382869275265482,0.9310096310673278,0.767406630921062,0.8257249769038945
18,19,0.9383645134059461,0.9274428333768268,0.7705547429417532,0.8231760074664731
19,20,0.9384954526713566,0.9308375263678671,0.7798189890189503,0.8243296421899767
20,21,0.9438820496303811,0.9362675740474948,0.8034030893777955,0.8348760229571955
21,22,0.944025000391072,0.9366330204527662,0.8034655415544552,0.8380579593491948
22,23,0.9443170822457809,0.9358926134633786,0.8034983009543621,0.8394189810580354
23,24,0.9443064325188608,0.9359507179127523,0.7802045722634595,0.8365686523077679
24,25,0.9449912623355263,0.9351985880958594,0.7961417115226281,0.836640629611247
25,26,0.9447787566370495,0.9388625663274183,0.8074156065016168,0.8402468208258151
26,27,0.9452787351280928,0.9366304720120042,0.7944407608238493,0.8406592812206563
27,28,0.9452246484821939,0.9367359774595512,0.7850725498193568,0.8378120751578868
28,29,0.9452950065141411,0.9374133530140919,0.8084969188906634,0.8370519675068068
29,30,0.945419905114774,0.9390912464117954,0.8105403732458704,0.8437316923121544
30,31,0.9454082427908681,0.9364690707637439,0.7975024808775236,0.83123727931942
31,32,0.9454989575139445,0.9377793091075156,0.8039473595117268,0.8424471937079296
32,33,0.9452147669322977,0.93703295575635,0.8032782340003795,0.837284580440331
33,34,0.9457124408922697,0.9338287162382568,0.8040114558197922,0.8365419735046187
34,35,0.945199263723273,0.9377701347207724,0.8036262972046267,0.8442668208953615
35,36,0.9458464179486378,0.9380066300234864,0.7913948608450025,0.841260591213292
36,37,0.9459160078035612,0.9355868005719381,0.7881309930757723,0.8354340765382198
37,38,0.9461144069785111,0.938465519256698,0.7943720691465235,0.841316612212327
38,39,0.9459433828393163,0.9354432384090118,0.7980432809551866,0.8391017860601901
39,40,0.945987832355281,0.9373131143441197,0.7890477030710903,0.8399217539816575
40,41,0.9487180382490704,0.9396097691588379,0.8169244986951976,0.8448947220049409
41,42,0.9491578545122997,0.9406046804323243,0.8166186668398867,0.8480988219190844
42,43,0.9496192844836062,0.9393873752283403,0.8149921867283457,0.8422469233756883
43,44,0.9494290908359554,0.9368707050278358,0.8128306164229407,0.8408369560637914
44,45,0.949664606928007,0.939635083670407,0.8171448395826946,0.8429531890520985
45,46,0.9498499820106908,0.939749083920494,0.8074438099449306,0.8448923574160737
46,47,0.9496030829318328,0.9406468146529228,0.8162771835706406,0.8493133876120482
47,48,0.9500446450519343,0.9403377737365171,0.8190924380832862,0.8463042116215045
48,49,0.9497412849618314,0.9388787064522442,0.8148192715142635,0.8458913958791944
49,50,0.949929243912686,0.9371885805388831,0.8084760923062373,0.8403681638426325
50,51,0.949822083217874,0.9410384250500174,0.8111047016340159,0.8461760217905229
51,52,0.9503306862418657,0.9404307068763048,0.8068498948124061,0.8454993304874711
52,53,0.9503383680121031,0.9390154727731385,0.8213684786297613,0.8453092776494727
53,54,0.9500842760029319,0.9372993527640049,0.8174116466092616,0.8459111524964951
54,55,0.9501785522740275,0.938350669526357,0.8132745097024274,0.8439336060218124
55,56,0.9501410861855514,0.9408257151944155,0.8125163751552831,0.847674656000783
56,57,0.9509607310698834,0.9406327132807063,0.810633557967815,0.8458461072795114
57,58,0.9504298509122032,0.9410042759438065,0.8113414168283946,0.8469740138536263
58,59,0.9502373876506186,0.9400139518636917,0.8024234762189777,0.8459149798157869
59,60,0.9506561837971074,0.9413114480036534,0.8180021759504503,0.8487702721892371
60,61,0.952359616347254,0.9417995593576026,0.8223699682317464,0.8477439967186496
61,62,0.9527884686293264,0.9416400269659012,0.8227283291726302,0.8500735404548854
62,63,0.9526617892546839,0.9411233730754175,0.8208575312545119,0.8481926578481918
63,64,0.9528189163731765,0.9415385990235734,0.8156683665770821,0.8496998384949999
64,65,0.9529053362883474,0.9414655437217293,0.8189019783896839,0.8510050749450824
65,66,0.9530935745763015,0.942396404184064,0.8199095762775831,0.850983532186528
66,67,0.952855230196117,0.9419098218945721,0.8189072408853761,0.8487530625709135
67,68,0.9532404709735233,0.9422268479253654,0.819962149386387,0.8501467593699678
68,69,0.9531651197909218,0.9417557261764962,0.8096925231005798,0.848365901103432
