,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss
0,1,0.8570822010869565,0.9015119389352818,0.6083036741381533,0.7562448557213017,0.551115075036781
1,2,0.9184549362217534,0.9161505224643354,0.6991211867878967,0.7894241868537634,0.24421932261854887
2,3,0.9245611055491991,0.9222151318937022,0.7241400187049077,0.8059830369338784,0.2208567556223962
3,4,0.9269697246071403,0.9193432090509742,0.7313032803644555,0.793923382662045,0.21342495928605854
4,5,0.9296152913597683,0.922477281500087,0.7420449698356038,0.8109651012396606,0.2057341761818876
5,6,0.9315241065123534,0.907488542210334,0.7249791325922907,0.7934853816911523,0.1998529610494727
6,7,0.9327643981514588,0.924811483342032,0.7588215967209566,0.8173581337215571,0.19552959721680363
7,8,0.9329734121361913,0.9177310654249304,0.7443474831390703,0.7947666058607284,0.19493535730467781
8,9,0.9338612851070867,0.9300599121433543,0.7718297526696376,0.8217446126553392,0.1926012584594349
9,10,0.9348371841814752,0.9276507861430062,0.7664133897985453,0.8175497809647692,0.1893764910558814
10,11,0.9354419490019844,0.929314917960595,0.7512672655541988,0.8167821846856235,0.18794656189444137
11,12,0.9359181489224292,0.9245340430910751,0.7781065710092965,0.8184635990904322,0.1856253321881425
12,13,0.9359766002105084,0.9297800933476862,0.750386671632368,0.8174989068375916,0.184982746848048
13,14,0.9375206011110913,0.926043229710334,0.7572964226597948,0.8112447618149222,0.18194594382557772
14,15,0.9376314281053346,0.9333502889592032,0.7665761302975403,0.8253803260446586,0.18123534963694263
15,16,0.9381300797451552,0.928585894006611,0.7506788821716773,0.8167858406912877,0.17961493922180113
16,17,0.9383345545020202,0.9335421016005567,0.7760940056744419,0.8261518046022289,0.17943501927691685
17,18,0.939020361998534,0.9340116942849687,0.7905573054325039,0.8225197016359682,0.17725624209717428
18,19,0.9385205580931779,0.9321591477470424,0.7861002158777167,0.8253640480103567,0.1791109476127668
19,20,0.9381983427488558,0.9312048416296973,0.7739947327220005,0.820137920850771,0.17786287797670342
