,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss,Validation Loss,Start Training Time,Start Testing Time,End Time
23,24,0.9336077168549771,0.9275806190740258,0.752518027994866,0.8149761432578646,0.18906655728612393,0.2021485458335115,1713718835.0182667,1713719501.3548627,1713719585.4619596
24,25,0.934185420893968,0.9230576464096207,0.7429195830505992,0.8083247944328394,0.18674854595785284,0.20808639663995968,1713719585.5159588,1713720248.750559,1713720332.8720376
25,26,0.9340959282707022,0.923082111440936,0.7450930973158949,0.8104565427939453,0.18633383643777202,0.21157726015274722,1713720332.8720376,1713720978.8971446,1713721054.7491837
26,27,0.9346770891063001,0.9239224173081941,0.759822253105817,0.815161008792585,0.1854422420467883,0.20681571335428292,1713721054.7491837,1713721664.6361651,1713721748.4328284
27,28,0.9347534878030249,0.9246546692871433,0.7569206483909119,0.8128787478035181,0.18503526621231772,0.20423710682532853,1713721748.4908278,1713722412.4032311,1713722496.4825904
28,29,0.9348555505957702,0.9224283514374565,0.7518736721845234,0.8059642647904507,0.18539126712649856,0.21347861371727453,1713722496.4825904,1713723159.4535177,1713723243.4034896
29,30,0.9353946362807495,0.9253923579397182,0.7574959174736908,0.8141853464720973,0.1834735377037416,0.20804866553387708,1713723243.4034896,1713723907.651001,1713723991.257329
30,31,0.9357745696532644,0.9261047320807237,0.7661962999349423,0.8166969635739926,0.18249940611336815,0.2004086751697792,1713723991.2583292,1713724656.1319077,1713724740.0126529
31,32,0.935977438221807,0.9238831713204593,0.7523492512448449,0.8113636103738914,0.18193227178854038,0.21096072463939589,1713724740.060652,1713725405.3218286,1713725489.2351792
32,33,0.9353745938438572,0.9253724801017745,0.7704399137578103,0.8070482236446572,0.18305454854970665,0.20278064596156278,1713725489.2361786,1713726153.4627495,1713726237.109354
33,34,0.9359172410768557,0.9253165843010612,0.7460240404831116,0.814780150113633,0.18088070153167102,0.20311876346046726,1713726237.1103542,1713726902.5202763,1713726986.4933748
34,35,0.9356834010074013,0.9276319276813675,0.7599964629333263,0.8204810879812583,0.18181939539872535,0.20338503347916737,1713726986.4943752,1713727650.651903,1713727734.5821226
35,36,0.9361486718638266,0.925659604427627,0.7693646379429568,0.8199564927431849,0.17997302244538846,0.20631920556641287,1713727734.6271222,1713728398.6606855,1713728482.3051026
36,37,0.9360978674288473,0.9250884139048364,0.7557186567185024,0.8171416365217666,0.18051879009918162,0.2019216990719239,1713728482.3051026,1713729145.334336,1713729229.304204
37,38,0.9363643899389481,0.9270901291753654,0.7690685105666011,0.8201373346516794,0.17934461273849692,0.20125990820427736,1713729229.3052037,1713729894.4657514,1713729978.694442
38,39,0.9370459026275565,0.9228051808781316,0.761912710487317,0.8117725988241166,0.17805605427760554,0.21843492878187035,1713729978.694442,1713730643.83387,1713730727.806421
39,40,0.936848795386692,0.9174364656728428,0.7405407502556964,0.8067298197504,0.17921889011558462,0.2320970779284835,1713730727.806421,1713731391.9320998,1713731475.6402688
40,41,0.940155343551112,0.9289469231145616,0.7691986363709935,0.8237841503668091,0.16875432496485504,0.19396930393866366,1713731475.6402688,1713732140.22309,1713732227.605097
41,42,0.9406995969724328,0.9286144365431455,0.7765115567300404,0.8241170087424331,0.16658268724855896,0.1977674855540196,1713732227.651097,1713732893.9330547,1713732978.0290532
42,43,0.941570116126019,0.9283908533402923,0.7817258420643112,0.8231035590879983,0.1647858905522856,0.19800111439286006,1713732978.075053,1713733642.3902357,1713733726.195382
43,44,0.9417503234723613,0.9301547141397007,0.7860693545219022,0.829969595164965,0.16363379921022486,0.19219713035143085,1713733726.1963823,1713734391.105436,1713734475.2419422
44,45,0.9418060861408574,0.9318557134003131,0.7790709771687345,0.828497544479427,0.16324130686967542,0.19001456065517333,1713734475.2881823,1713735151.8537524,1713735238.192636
45,46,0.9419705807753505,0.9308978394659012,0.7806323972797699,0.8257952852930942,0.1625996337312719,0.19240218757962188,1713735238.193635,1713735913.3597267,1713735997.3309324
46,47,0.9419870616642234,0.9324410052953201,0.7894400528128168,0.8285829904198326,0.16303547998587653,0.18969926909647053,1713735997.3309324,1713736683.0847132,1713736766.4379115
47,48,0.9426300956673699,0.9318961486604036,0.7785590960755036,0.8279042874807893,0.1615706331755122,0.1896758884191513,1713736766.4379115,1713737432.5605247,1713737515.8989327
48,49,0.9423886087448154,0.9303638561782359,0.7773768811225628,0.8258423086302386,0.1620784055023908,0.19104012464069658,1713737515.8999329,1713738188.3566427,1713738272.6120296
49,50,0.9426591118085849,0.9319477970598469,0.7871490881307717,0.8307588005414662,0.1608485871972836,0.18843965539708735,1713738272.6120296,1713738966.3030646,1713739053.2609131
