,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss
0,1,0.8288533057735926,0.8721942477756076,0.5798527058776225,0.7209316195555198,0.6762770182968191
1,2,0.8958199734448671,0.8868745591905381,0.6197836636022223,0.7501754162114195,0.3698059669085691
2,3,0.9045661308200279,0.8863048977322049,0.6065418178491598,0.7497067416882147,0.3309529859887747
3,4,0.9085917826430562,0.8875734117296007,0.6393092428681716,0.7565730182599038,0.3123953453480563
4,5,0.9104753176234998,0.887325202094184,0.6391461069749357,0.7527799700153963,0.30269268842618674
5,6,0.9111958097808616,0.8734722561306424,0.5939356202667252,0.7123840468104883,0.30340477813379624
6,7,0.9131492836030147,0.8882025824652777,0.64235968992105,0.7622640199007471,0.2915679329772313
7,8,0.9147017165956743,0.8938383314344618,0.6368915896683479,0.7707764082179573,0.2881296569137386
