,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss
0,1,0.8558634725400458,0.8929465277777778,0.6408978424765424,0.7645421389262345,0.5571187072746814
1,2,0.9174577803203662,0.9191965277777778,0.7168246580754993,0.7888753823249488,0.24832791328702966
2,3,0.9241594965675057,0.9190326388888889,0.7300738595061588,0.7960280403496539,0.2234503640548179
3,4,0.9269112128146453,0.92275375,0.7594260410219118,0.8025991155453684,0.2126574824378747
4,5,0.9290747711670481,0.9171941666666666,0.7358605366624756,0.7981363016220562,0.20574445312403705
5,6,0.9309185926773456,0.9210061111111111,0.758476898883233,0.8013958836355184,0.20117558417863105
6,7,0.9324526315789474,0.9129690277777778,0.7418781054457663,0.7984960240151199,0.1967787826412466
7,8,0.9332098112128147,0.9234352777777778,0.7266252661653791,0.8077209425729631,0.19472667171664587
