,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss,Validation Loss,Start Training Time,Start Testing Time,End Time
0,1,0.44806721772427416,0.704970920591945,0.4261532897699645,0.5051671580087143,1.9616662713973965,1.3669980986250772,1713742899.1154253,1713743027.5585623,1713743051.4841318
1,2,0.685753479702249,0.7257614401204767,0.4430536222899458,0.5113526716381376,0.8957240578102574,0.7189727925591999,1713743051.5788546,1713743180.7728205,1713743204.6528575
2,3,0.7606299987373963,0.7929361299582464,0.5014094041907377,0.6051803012943945,0.6266538487487309,0.5405648404525386,1713743204.7588649,1713743334.3576667,1713743358.2237837
3,4,0.8019248910026637,0.8028284974121433,0.5087646819510754,0.6032247142213462,0.5229317931547863,0.5137208694385158,1713743358.3357837,1713743488.081633,1713743512.0777936
4,5,0.819136665396614,0.7863354984886047,0.4957605936803542,0.5761442640919179,0.4788860479535991,0.5528953200413121,1713743512.0787907,1713743641.916544,1713743665.8733115
5,6,0.8253719582983231,0.8031531687652227,0.5568001576691723,0.6113356391628525,0.46072375389067477,0.5116708699199889,1713743665.874311,1713743807.373924,1713743833.5664315
6,7,0.8282570915309461,0.8297755401335247,0.5505646325837827,0.6423375091945867,0.45380199722758147,0.4426576479855511,1713743833.669431,1713743989.561432,1713744015.5823452
7,8,0.8343561377623534,0.8099097648094989,0.5375999228437401,0.6345672152834887,0.4374723130628228,0.4853600672963593,1713744015.6829047,1713744171.399305,1713744197.6317012
8,9,0.8373215804110948,0.7812821103536013,0.5315826979879983,0.5865627081819538,0.4294216192457441,0.5901227029661338,1713744197.6317012,1713744353.4605029,1713744379.702878
9,10,0.8395820111377288,0.8113649244846033,0.5641678626408472,0.6307543231648551,0.42348526024368316,0.48457229605151547,1713744379.702878,1713744535.508665,1713744561.7890437
10,11,0.8427530458917334,0.8413021377000696,0.5849822588253561,0.6701750270426083,0.4166199577209333,0.41412526157995067,1713744561.7890437,1713744717.5537028,1713744743.755434
11,12,0.8454634886857301,0.8438130314348469,0.5801920110216953,0.6684269585372589,0.40931302786418994,0.40117375060088106,1713744743.8534336,1713744899.5886397,1713744925.772549
12,13,0.8467455063040796,0.8361947226209117,0.5869791749557192,0.6626837106225233,0.40676855023106395,0.41964356907539896,1713744925.7735488,1713745081.6559272,1713745107.7043438
13,14,0.8490547511888586,0.8531867062456506,0.5785783988880033,0.6814659607963266,0.4000648334792877,0.38207041865421665,1713745107.7043438,1713745263.3902571,1713745289.5700142
14,15,0.8516377464311892,0.8444105558455115,0.5734637636603181,0.6671405567851598,0.39311098367043984,0.40247117334769833,1713745289.6809826,1713745445.3330243,1713745471.431556
15,16,0.8543626798372247,0.8463439729036186,0.5905712541380066,0.6823765110907491,0.3863386632341815,0.39235388226807116,1713745471.4325564,1713745627.125637,1713745653.2613244
16,17,0.8531813981603976,0.8475483660077419,0.595677279516927,0.6715274653312185,0.3894738148156238,0.3991139812188016,1713745653.3623238,1713745809.1551347,1713745835.309047
17,18,0.8552746805500929,0.8530672693219381,0.6056439720153216,0.6890677227871739,0.38230474775729517,0.3833894822332594,1713745835.309047,1713745990.989935,1713746017.07278
18,19,0.8565412997108303,0.8540795099926062,0.6029951831049478,0.6899918110614073,0.3802013800093729,0.3880925319674942,1713746017.1727602,1713746173.0363257,1713746199.1929362
19,20,0.8576770843575694,0.8551255599773835,0.6109561401957659,0.6978665802815525,0.37656805246591024,0.38384473584592343,1713746199.3159385,1713746355.017865,1713746381.1594784
20,21,0.8706973008214746,0.8709512072133786,0.6422873428104037,0.7133311108630878,0.3432023214939257,0.3393867118491067,1713746381.2594786,1713746537.644906,1713746563.8499782
21,22,0.873291260044962,0.8693266611756263,0.6399754183728008,0.7186659750515484,0.33724098175218503,0.3417104248371389,1713746563.9499292,1713746719.8499525,1713746746.071453
22,23,0.8727715184541261,0.8782079772312108,0.6379950966499566,0.7268962757303095,0.3376281663639049,0.3261245109968715,1713746746.183683,1713746902.179948,1713746930.0884464
23,24,0.8769061614501394,0.876737017223382,0.6312018987359954,0.7188660757474519,0.32785691193025773,0.3257047064602375,1713746930.1914465,1713747086.208331,1713747112.4973207
24,25,0.8757183502686106,0.8734235345446242,0.6285428205333036,0.7180924088302862,0.33085484642458723,0.3319691630701224,1713747112.4973207,1713747268.449231,1713747294.5024343
25,26,0.8769673362749392,0.8795880428518615,0.6411872541580361,0.7265045592872335,0.327932352502777,0.317925724056032,1713747294.5034368,1713747450.26623,1713747476.3934615
26,27,0.8779619509349972,0.880646665144398,0.6405658062794677,0.7293713770564714,0.32447570518034274,0.3191870265536838,1713747476.3944604,1713747632.8877695,1713747658.9438708
27,28,0.877266820562786,0.8778036246303061,0.6426486297706089,0.7198300264714631,0.32670704065662226,0.3223361527754201,1713747659.0418706,1713747814.9216492,1713747841.1734161
28,29,0.8789731861524779,0.8777528257111169,0.638420035731502,0.723442156341775,0.3219262515141435,0.32270778603851796,1713747841.1744158,1713747997.403085,1713748023.5747037
29,30,0.8792938651427524,0.8838376527705288,0.646148450053321,0.7263195628481427,0.32220591171655283,0.30940064506398307,1713748023.5757048,1713748179.2520595,1713748205.5490224
30,31,0.8798475112740454,0.8824300639896486,0.6469685453853433,0.7276062221960854,0.3211832607092519,0.31171634097894035,1713748205.5490224,1713748361.939671,1713748388.1651735
31,32,0.8805327600963602,0.8812562521746694,0.6459355021084057,0.7250905980578376,0.3188666675913252,0.3150170176807377,1713748388.1651735,1713748544.4509268,1713748570.609949
32,33,0.8809423032014266,0.880877214085334,0.6456447723257843,0.7251089813486696,0.31807731796115707,0.3166724464545647,1713748570.610951,1713748727.1095052,1713748753.4416454
33,34,0.8808403451600937,0.8776731444632916,0.642139327857945,0.7180524045257533,0.31758338995533625,0.3234692681166861,1713748753.4416454,1713748909.0498226,1713748935.2117631
34,35,0.8811853963123033,0.8856405896616214,0.6558306557593965,0.7372153590923315,0.3169127663158443,0.30384789725972544,1713748935.2117631,1713749091.6875138,1713749117.9328961
35,36,0.8809023230790546,0.8813784074351948,0.6433706486058243,0.7257219943600642,0.31707157295205773,0.3116810834656159,1713749118.0358927,1713749274.5040646,1713749300.72635
36,37,0.8830311161975293,0.8762466972207724,0.6388355980467231,0.7305785277699343,0.3117186745769372,0.32687655459675524,1713749300.72635,1713749457.1141977,1713749483.3990927
37,38,0.8817154035415475,0.8841555282815762,0.6608085150051304,0.7369672544947719,0.31469962174750576,0.30654431656003,1713749483.3990927,1713749639.633098,1713749665.8522553
38,39,0.8828475218888551,0.8818366170842032,0.6465249573073277,0.7311948443751729,0.3122888821213414,0.3138144794851542,1713749665.8532546,1713749822.2509599,1713749848.3815286
39,40,0.8830982967699692,0.8882085684694676,0.6555446099700113,0.7384995972671127,0.3125377980570226,0.2964165483497911,1713749848.3815286,1713750004.5940614,1713750030.707349
40,41,0.8906717889641733,0.8986622724752088,0.6737519475336836,0.7570197992540385,0.2924863515033875,0.2729801239238845,1713750030.8053482,1713750186.9928498,1713750213.041293
41,42,0.8922390446782931,0.8970514880175713,0.6757965905325224,0.7551260150554013,0.2877251759376078,0.2803373397224479,1713750213.1532922,1713750369.5343258,1713750395.7568464
42,43,0.8921651949326015,0.8926467630045233,0.6675175687250368,0.7444432135916311,0.28776241262662877,0.2888801474124193,1713750395.7568464,1713750552.198055,1713750578.3117762
43,44,0.8929372477585991,0.8933421475404488,0.6639757644763161,0.7501615548028577,0.2856246373643864,0.2845296827869283,1713750578.3127756,1713750734.825798,1713750760.9234424
44,45,0.8924524233052059,0.8935602940696764,0.6722439814386735,0.7467764182215347,0.2868698367367347,0.28452683637539544,1713750760.9244425,1713750916.7033217,1713750942.8324788
45,46,0.8924620953522776,0.894881745552801,0.6794673927436962,0.7524671717344146,0.28691312681789805,0.2800699004696475,1713750942.8324788,1713751099.2432787,1713751125.4853923
46,47,0.8937269337390052,0.897829272138135,0.6700904570855639,0.7535524345334107,0.28475304278683605,0.27565624862909316,1713751125.4853923,1713751281.171083,1713751307.4032853
47,48,0.8936747326185284,0.8920509375543667,0.6640077009733241,0.7437993898590648,0.28384467998617574,0.2883802397797505,1713751307.4032853,1713751463.368795,1713751489.5188022
48,49,0.8942915438514553,0.8965188638983125,0.6843565742255007,0.7584106993269348,0.281820113133443,0.2748406053003338,1713751489.5188022,1713751645.8948538,1713751672.0988934
49,50,0.8947598874159755,0.8916516818349861,0.66424475794603,0.7444398009432925,0.2813244046008287,0.2881879019240538,1713751672.196911,1713751827.9808662,1713751854.12551
50,51,0.8950819630917477,0.8959784245607167,0.6779269271990631,0.7565294741706868,0.2803139425728905,0.2777709327638149,1713751854.12551,1713752010.64678,1713752036.7387044
51,52,0.8952207936302202,0.8983474550930759,0.6697073885297635,0.7582676655422507,0.28021914387458524,0.2714873289482461,1713752036.7387044,1713752193.4285722,1713752219.541563
52,53,0.8947092924838208,0.8981092608298539,0.6837807692373455,0.7588659858661964,0.282801009782801,0.2741066962480545,1713752219.5425637,1713752376.0155842,1713752402.1703506
53,54,0.895817248172018,0.8970526772899269,0.6680859164158895,0.7527802972090152,0.27871053011180064,0.27516309225724805,1713752402.268351,1713752558.5398126,1713752584.73106
54,55,0.8959208473188108,0.8970300811151705,0.6808184204170531,0.7573888111884096,0.2782548108656019,0.2771962396800518,1713752584.73106,1713752740.970166,1713752767.123792
55,56,0.8954463932552381,0.8913839256589249,0.6841888085304768,0.7547768350049429,0.27993162160470775,0.29087331642707187,1713752767.123792,1713752922.9493952,1713752949.1162586
56,57,0.8958134771211742,0.8966012634829506,0.6786753161918583,0.7556997967346021,0.2787724222723625,0.27826420619255965,1713752949.1172583,1713753105.0302186,1713753131.2770267
57,58,0.8970338310747997,0.8960621833137613,0.6577530946598342,0.7563952451596587,0.2765789150475637,0.2791043913198842,1713753131.2770267,1713753287.764617,1713753314.058965
58,59,0.89643098669685,0.8961600434390222,0.689861654186622,0.7594870979129436,0.2777971408971387,0.27733642044994566,1713753314.058965,1713753470.2695854,1713753496.5084922
59,60,0.8962176779042119,0.8989679154705985,0.6816869514995989,0.7582393297329626,0.2781316772342001,0.2690887426336606,1713753496.6064916,1713753652.9406676,1713753679.0458398
60,61,0.9000474593732123,0.9047104019876478,0.6962251765576315,0.7725286351152242,0.26787004260094815,0.25758321734352246,1713753679.046837,1713753835.3292756,1713753861.6488872
61,62,0.9000999049136513,0.902550513493824,0.692764778908427,0.7676634212706405,0.2671579319975196,0.2613255069901546,1713753861.746711,1713754018.1499324,1713754044.469715
62,63,0.9015259906410898,0.9030564639331071,0.6943279968980144,0.7680491395051849,0.26427770799848527,0.260553748657306,1713754044.469715,1713754200.6936643,1713754226.976789
63,64,0.902310229548055,0.9007135973925713,0.690964696155631,0.7672407647999423,0.2625790993838616,0.26586572349899346,1713754226.976789,1713754382.6537838,1713754408.769164
64,65,0.9017704455203268,0.9013790802235561,0.6867275879322154,0.7643581417581634,0.2631539368418043,0.26405716836452486,1713754408.7701645,1713754564.9775891,1713754591.1719856
65,66,0.9026972510994709,0.902240792993215,0.6959699661958618,0.7688735333129547,0.26078070981483437,0.2627429287052817,1713754591.1719856,1713754747.4062085,1713754773.5995681
66,67,0.9029390173591247,0.9034857912534795,0.6938351614040741,0.7670857925022856,0.26025190027068357,0.2613105168359147,1713754773.6005678,1713754929.8743663,1713754956.1186297
67,68,0.9028189024063215,0.90182148953984,0.6889052443673078,0.7659272939314875,0.26134423975506693,0.2635009749068154,1713754956.1196299,1713755112.3102398,1713755138.5636065
68,69,0.902997782901441,0.9045965716336117,0.6949131415297138,0.7721764536714757,0.25932132834632554,0.25820449880427787,1713755138.5636065,1713755294.757563,1713755320.8962936
69,70,0.9033910546204591,0.9018498621803236,0.6915575650686048,0.7692387544391213,0.2586961626767839,0.2638090846439203,1713755320.8972921,1713755477.1730297,1713755503.4070659
70,71,0.9034344915394379,0.905662159664231,0.6971673588410694,0.7719333600493391,0.25837657697822736,0.255766058092316,1713755503.4080625,1713755659.724299,1713755685.9072075
71,72,0.9029741439993921,0.9040724423168929,0.7030394342986858,0.772078943584275,0.2586076815593434,0.2579840413812134,1713755685.908208,1713755842.24204,1713755868.4151895
72,73,0.9042659034990882,0.9041266391570981,0.6916238955635103,0.769793459092725,0.2568849892413043,0.2573584600869152,1713755868.4161906,1713756024.7166626,1713756050.8219855
73,74,0.9032432503776637,0.9003415250413187,0.6848465950426889,0.7650028295977214,0.2596444453813937,0.265009191342526,1713756050.8219855,1713756207.1812084,1713756233.3593304
74,75,0.9047928031031,0.9006500562695721,0.6975393563684689,0.7632452663271055,0.25572800532290263,0.26578558141158687,1713756233.3593304,1713756389.7577426,1713756415.8897192
75,76,0.904028047958828,0.9014978375630655,0.696632077814854,0.7688382857402769,0.25670131559332393,0.2642791401594877,1713756415.8897192,1713756572.3080845,1713756598.4422917
76,77,0.9042890884783502,0.9051320839857342,0.6990449430701781,0.7697052062603011,0.2567336250957553,0.2560526807275083,1713756598.4422917,1713756754.8892953,1713756781.1743095
77,78,0.903376459257008,0.9046472006567502,0.6997079815077928,0.7722361921077646,0.25847965965656994,0.25631109099421234,1713756781.1753097,1713756937.4490137,1713756963.4674606
78,79,0.9048021958130721,0.9048627987452157,0.7041383396914842,0.7739587178708977,0.2547174061667728,0.25587624154157107,1713756963.4674606,1713757119.136764,1713757145.35851
79,80,0.9036367315995065,0.9058415698938761,0.70279712511355,0.7739816112612077,0.2578014603195801,0.2529829119228654,1713757145.460511,1713757301.7867956,1713757327.9243057
80,81,0.9053278034829985,0.9075463068676062,0.7036601959224448,0.7760316103643925,0.25332325165004427,0.2521130679382218,1713757328.024495,1713757484.4134738,1713757510.6998131
81,82,0.906514322730442,0.9079678189696416,0.7095644878688872,0.7771938128352531,0.25129532417627715,0.2494653668668535,1713757510.803813,1713757667.1477425,1713757693.210873
82,83,0.9063215452146203,0.9094525405575853,0.7045447893352281,0.7776907898650184,0.250004376653471,0.24691045582294463,1713757693.3235662,1713757849.042592,1713757875.2581253
83,84,0.9077965498516162,0.907463907282968,0.7076794432356108,0.7780927662868772,0.24733852156069241,0.25000851104656857,1713757875.371124,1713758031.78203,1713758058.0996664
84,85,0.9077415204430063,0.9077928260373174,0.7083202489394971,0.7783295787372216,0.24750203430413928,0.25027257824937504,1713758058.2018387,1713758214.5206225,1713758240.6072886
85,86,0.9069933509390196,0.9091786681236952,0.714830823891766,0.7812130115404736,0.2482820769827344,0.2470319306684865,1713758240.7102864,1713758397.1057386,1713758423.1895957
86,87,0.9072580926751108,0.9090621194328462,0.7089044239178792,0.7811336397866404,0.24900995111369978,0.24652434061798784,1713758423.3021226,1713758579.0597217,1713758605.193422
87,88,0.9083757204103797,0.9074985660773313,0.7073965138387859,0.7775715536036156,0.24591393831870104,0.24786300572256248,1713758605.193422,1713758761.412397,1713758787.644562
88,89,0.9081169495047912,0.9091813864605081,0.7085751686186288,0.7814636437495143,0.2466724051218011,0.24619831103417608,1713758787.644562,1713758943.3907683,1713758969.6337948
89,90,0.9075074708707273,0.9079985701548364,0.7054055710264613,0.7785069614988896,0.24673871825570645,0.2467231115533246,1713758969.776047,1713759126.1017768,1713759152.1458094
90,91,0.90831604702249,0.9096132622216423,0.7119251755153629,0.7825050542811351,0.2462112030325547,0.24474891593886747,1713759152.1458094,1713759308.3330486,1713759334.538486
91,92,0.9088073311463101,0.9088968105754175,0.7111801787749681,0.7807193811761429,0.24492455845021002,0.24631806512673696,1713759334.6490242,1713759491.0584302,1713759517.1409366
92,93,0.9079599620548484,0.9082153575156576,0.7087916367013816,0.7802372920427709,0.2457415213642186,0.24915903686649268,1713759517.1409366,1713759673.3471303,1713759699.6679075
93,94,0.9082804315422983,0.9086079872890571,0.7043357122030105,0.7802992702625889,0.24597967214012856,0.24746514612601864,1713759699.6689057,1713759855.969874,1713759882.156479
94,95,0.9086728652500179,0.9093689517005915,0.7073324677613457,0.7807869880024106,0.2447179284040524,0.24592675388687188,1713759882.156479,1713760038.322959,1713760064.557448
95,96,0.908942250965389,0.9077982627109429,0.7077944522444104,0.7815044575036366,0.24435376920641425,0.25068378241525757,1713760064.557448,1713760220.519652,1713760246.7302806
96,97,0.9092414209989989,0.9094567879588552,0.7104602399803763,0.7821775853325321,0.24325198848951327,0.2470836672724949,1713760246.7302806,1713760403.059722,1713760429.082719
97,98,0.9085782398075479,0.9090388436738865,0.7088237289415886,0.7802299650785024,0.24578919001690855,0.2471503412971894,1713760429.0837185,1713760585.0708132,1713760611.3225968
98,99,0.909673730077678,0.907683412980602,0.7082474185849025,0.7788968282214171,0.24288794592670773,0.24898054270694653,1713760611.3225968,1713760767.8316977,1713760793.9365335
99,100,0.9090158912082559,0.9091008557324287,0.7084958505059157,0.7804992127243051,0.24400088767301573,0.246565450872812,1713760793.9375324,1713760949.1321304,1713760975.3650353
100,101,0.9091469003079412,0.9111487827287752,0.7142350187736256,0.7850154308141697,0.24350254012599962,0.24247526189105378,1713760975.3650353,1713761131.289447,1713761157.5428083
101,102,0.910135509220359,0.9108805168645616,0.7099927050554844,0.7829711617776764,0.2404321447031858,0.2413348895808061,1713761157.653546,1713761314.0823784,1713761340.3732553
102,103,0.9106107663780928,0.9102505423081941,0.7130666117820494,0.7828375187679889,0.2401975230047441,0.24388611790620618,1713761340.3742552,1713761496.8337262,1713761523.003654
103,104,0.9104366346136656,0.9100162556541406,0.7145346424316251,0.7832390728017088,0.23972919067576767,0.24321778102053537,1713761523.003654,1713761679.0264716,1713761705.1747775
104,105,0.9098915082639087,0.9105057261764962,0.7175739248494702,0.7842898844151938,0.24098856889512774,0.24272299541367426,1713761705.1747775,1713761861.0417426,1713761887.132708
105,106,0.9104740657850043,0.9099783688348121,0.712881738656199,0.783170853810209,0.24000940355099312,0.24348828819476895,1713761887.132708,1713762043.4247549,1713762069.5361938
106,107,0.9105337740900314,0.910435219315414,0.7130087177147431,0.7841890468365342,0.24010677701309835,0.24253177077819904,1713762069.5371928,1713762225.7963815,1713762251.999728
107,108,0.9109239381838172,0.9115335972838379,0.7135133431403489,0.7830325999405975,0.23891026476393848,0.23988557277868192,1713762251.999728,1713762408.0243285,1713762434.1348288
108,109,0.9105033961804563,0.9093077891223034,0.7192475440137146,0.7840149760752418,0.24081435373364105,0.24488829374313353,1713762434.1348288,1713762590.3675208,1713762616.6042204
109,110,0.9113367285826659,0.9107447699199722,0.7151439713200433,0.7839255477266316,0.23872828680501923,0.2428946825572186,1713762616.6042204,1713762773.0107062,1713762799.245017
110,111,0.9105164551898598,0.9098506070046103,0.7132452554296304,0.7834476703518843,0.23894330991316987,0.2432040187012818,1713762799.2460163,1713762955.1541889,1713762981.436757
111,112,0.911077294251466,0.9105026680475817,0.7187046611258385,0.7840723494693127,0.2389412451049556,0.24267823507802355,1713762981.437757,1713763137.729597,1713763163.995522
112,113,0.9111953840102975,0.9111017215227035,0.7158965915963069,0.7841706690729224,0.23810612821197075,0.24349286241663826,1713763163.996522,1713763319.9040627,1713763346.0265293
113,114,0.9118397797818042,0.9102172426822372,0.7162141517798117,0.7845336470030527,0.23679081145119885,0.24286320685512489,1713763346.0265293,1713763502.3627832,1713763528.5500524
114,115,0.9112605044716283,0.9096028985625435,0.7119566349418577,0.7837362251166925,0.23746658056906214,0.2437061802794536,1713763528.5500524,1713763684.987149,1713763711.2066753
115,116,0.9110429008710849,0.9119551093858733,0.7092111421499693,0.7858567509226329,0.2390265809947484,0.24089187449879115,1713763711.2076755,1713763867.2041311,1713763893.4759164
116,117,0.9114712293960955,0.9098475488756959,0.7136207779033801,0.7826756465612477,0.2377089237201814,0.24255040904714,1713763893.5789301,1713764049.559471,1713764075.8104005
117,118,0.9111484553775744,0.9098701450504524,0.7141379962353209,0.78476352028084,0.237745654204481,0.24256506363550823,1713764075.8104005,1713764232.207877,1713764258.3635042
118,119,0.9117172904636549,0.9101292365279228,0.716686893488192,0.7849696795433073,0.2372283456714939,0.2432738357534011,1713764258.364502,1713764414.3941922,1713764440.612782
119,120,0.9115783900909075,0.9112422255567154,0.7203926581947713,0.7852995373208014,0.23737820342728694,0.24068604271031088,1713764440.6137815,1713764596.913985,1713764623.1480813
