,Epoch,Train Accuracy,Test Accuracy,Class avg mIOU,Inctance avg mIOU,Traning Loss
0,1,0.8572291030142224,0.9070105658637153,0.6452132221963127,0.7675373474923264,0.5291439601656299
1,2,0.9161631004547242,0.8970669216579861,0.6581015202385847,0.749385753408576,0.2522637071806816
2,3,0.9219960582944718,0.9141474405924479,0.6942087805275055,0.7961304313431609,0.23228919919710148
3,4,0.9244717335687357,0.9129620022243924,0.726970421849948,0.7963650805090854,0.22276229975375536
4,5,0.926187732275586,0.9045684814453125,0.6897253092675562,0.7865699130123637,0.21704282372627617
5,6,0.928121175269797,0.917755126953125,0.7229607006608585,0.7989415769595493,0.21212868885764946
6,7,0.9296264997409234,0.9224473741319444,0.7481314592115726,0.806624482644871,0.2080117375715042
7,8,0.9300906321469411,0.9217692057291667,0.7366118641168954,0.7924849322613148,0.2061458261499342
8,9,0.9310144301207833,0.9194235907660591,0.7195638497299575,0.7899601670612728,0.203957148916538
9,10,0.9305471569691609,0.9274570041232639,0.7397344481035177,0.8118158813471165,0.20422939133386805
10,11,0.931961853481007,0.9245176527235243,0.7540502814957688,0.8012542787982375,0.20059270354647035
11,12,0.9325233141035949,0.9263578626844619,0.7727962247274434,0.8090441131429221,0.19818291777777902
12,13,0.9328148799872248,0.9242977566189237,0.7526483629094977,0.8140996973226688,0.19682577240673252
13,14,0.9331388304477558,0.9235170152452257,0.7679310859803123,0.8110224727959298,0.1970303316561749
14,15,0.9339486542533233,0.9294357299804688,0.7508790072985153,0.8173099596131987,0.19313789624241573
15,16,0.93369994209861,0.9204815334743923,0.7376586898086024,0.8066556817411721,0.19539317924033034
16,17,0.9342339037485706,0.9262061225043403,0.7610626325507869,0.8072573939814541,0.19502190286650392
17,18,0.9347204750370748,0.9307564629448785,0.7678148815434185,0.8134633608458133,0.19181309283640194
18,19,0.9352117923411593,0.9271170722113715,0.7219223768657925,0.8107292116155416,0.19043853109635375
19,20,0.9349618936825508,0.9222776624891493,0.7318393559028487,0.8089529151113171,0.19093366984752944
20,21,0.9397391073358884,0.9308790418836805,0.7699538903411736,0.8194210563284177,0.17601801394104208
21,22,0.9399926004033555,0.9274965074327257,0.7770410862242751,0.8108885707888595,0.175931209111517
22,23,0.9405136500991638,0.9333360460069444,0.7856360507540067,0.8224059740426668,0.1744624482304829
23,24,0.9409127341739922,0.9345560709635417,0.7939632830113365,0.8293855446824087,0.17227350528740146
24,25,0.9406166665549958,0.9303410847981771,0.7946358209811428,0.8296624851897113,0.17269796360946507
25,26,0.9407714704161306,0.9340382893880208,0.7827281111080052,0.829387039439541,0.1724073508974823
26,27,0.9409653591114565,0.9322184244791667,0.7966866147091355,0.8324480438854386,0.17207925230170945
27,28,0.9407925483088551,0.9298831515842014,0.7785958809862835,0.8161069680389839,0.1731294087188083
28,29,0.9411096938205761,0.9286258273654514,0.7809430189159381,0.8259264072285987,0.17144690648897026
29,30,0.9408108344277087,0.9343349880642361,0.7939519940185239,0.8302123918088041,0.1719347795949724
30,31,0.9410207758227916,0.9345316569010417,0.8023793572225595,0.8282099058115915,0.1710152356193671
31,32,0.9411907250571755,0.9317489624023437,0.7777139785113953,0.8227213974613019,0.17197569325063622
32,33,0.9417422050881754,0.9305392795138889,0.7811714382353661,0.828930698739907,0.16993875961948832
33,34,0.9412325318708905,0.934534200032552,0.7984282826021406,0.834581136434086,0.17181638472757726
34,35,0.9411994842476951,0.9341729058159722,0.7796747232985657,0.8325255615839158,0.17142137992656387
35,36,0.9418902040005003,0.9323186238606771,0.7766570817261256,0.8241712169891854,0.16863296504503594
36,37,0.9414459629833118,0.9320466783311632,0.786882838608701,0.8275918733685613,0.17031336363603075
37,38,0.9415459782822327,0.9350965711805556,0.7875961708408,0.8335406133920106,0.1697792165373277
38,39,0.9418007276479416,0.9350345187717014,0.787006974922603,0.8327204148075156,0.16955571445935178
39,40,0.9420133561253752,0.9335834079318577,0.7979211557388564,0.8309137333763973,0.16838923208479406
40,41,0.9443415210477416,0.9373041788736979,0.801907859998271,0.8357377854125085,0.16075088912083327
41,42,0.9452900960146869,0.9374769422743056,0.7998754068581914,0.8393873000563273,0.15844529115511322
42,43,0.9454473775751322,0.9363850911458333,0.7984565371201797,0.8346655438092171,0.1580608287041292
43,44,0.9455187771918775,0.9369193183051215,0.8049010939737516,0.8384591022623826,0.15784555416300747
44,45,0.9456578773249893,0.9366385565863715,0.7987555005747862,0.8355352264908927,0.15777552981736867
45,46,0.9457444921093303,0.9366992526584201,0.8055473491729693,0.8390736110722091,0.15684202865933336
46,47,0.9459448716789058,0.9378858778211806,0.7965392486494209,0.8395353914799512,0.1562490421744024
47,48,0.9452301426708118,0.9367085774739583,0.7988789260428738,0.8389703218579592,0.15847670475607809
48,49,0.9456782223770727,0.9373660617404513,0.800924141366959,0.84083689283077,0.15686266420738162
49,50,0.9460773064519011,0.9349938286675348,0.7981321796884918,0.8333911003664801,0.15603291236711883
